HTTrack3.49-2 launched on Mon, 22 Nov 2021 22:30:40 at https://www.mrhanbao.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/*
(webhttrack -q -%i -w https://www.mrhanbao.com/ -O "/home/sathimantha/websites/test" -n -%P -N0 -s2 -p7 -D -a -K0 -c4 -%k -A25000 -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -%s -%u )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

22:31:09	Error: 	"Not Found" (404) at link https://fonts.gstatic.com/ (from https://www.mrhanbao.com/)
22:34:22	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-LigIta-webfont.eot?
22:34:22	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-LigIta-webfont.eot
22:34:26	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-Reg-webfont.eot
22:34:32	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-RegIta-webfont.eot
22:34:39	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-Bol-webfont.eot
22:34:39	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-Bol-webfont.eot?
22:34:44	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-BolIta-webfont.eot
22:34:50	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-Bla-webfont.eot?
22:34:50	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-Bla-webfont.eot
22:34:55	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-BlaIta-webfont.eot
22:35:05	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/google/Roboto/Roboto-Regular.ttf
22:38:06	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/website/1/logo/Mr Hanbao?unique=c52ec9e
22:38:07	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/website.s_product_list_default_image_6
22:38:09	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/website.s_image_text_default_image

HTTrack Website Copier/3.49-2 mirror complete in 7 minutes 29 seconds : 369 links scanned, 389 files written (10901504 bytes overall) [8043320 bytes received at 17913 bytes/sec], 2088752 bytes transferred using HTTP compression in 71 files, ratio 24%, 13.3 requests per connection
(7 errors, 29 warnings, 0 messages)
